movie_name,genres,content_rating,year,genre
Avatar,"Action,Adventure,Fantasy,Sci-Fi",PG-13,2009,Action
Avatar,"Action,Adventure,Fantasy,Sci-Fi",PG-13,2009,Adventure
Avatar,"Action,Adventure,Fantasy,Sci-Fi",PG-13,2009,Fantasy
Avatar,"Action,Adventure,Fantasy,Sci-Fi",PG-13,2009,Sci-Fi
Pirates of the Caribbean: At World's End,"Action,Adventure,Fantasy",PG-13,2007,Action
Pirates of the Caribbean: At World's End,"Action,Adventure,Fantasy",PG-13,2007,Adventure
Pirates of the Caribbean: At World's End,"Action,Adventure,Fantasy",PG-13,2007,Fantasy
Spectre,"Action,Adventure,Thriller",PG-13,2015,Action
Spectre,"Action,Adventure,Thriller",PG-13,2015,Adventure
Spectre,"Action,Adventure,Thriller",PG-13,2015,Thriller
The Dark Knight Rises,"Action,Thriller",PG-13,2012,Action
The Dark Knight Rises,"Action,Thriller",PG-13,2012,Thriller
Star Wars: Episode VII - The Force Awakens,Documentary,,,Documentary
John Carter,"Action,Adventure,Sci-Fi",PG-13,2012,Action
John Carter,"Action,Adventure,Sci-Fi",PG-13,2012,Adventure
John Carter,"Action,Adventure,Sci-Fi",PG-13,2012,Sci-Fi
Spider-Man 3,"Action,Adventure,Romance",PG-13,2007,Action
Spider-Man 3,"Action,Adventure,Romance",PG-13,2007,Adventure
Spider-Man 3,"Action,Adventure,Romance",PG-13,2007,Romance
Tangled,"Adventure,Animation,Comedy,Family,Fantasy,Musical,Romance",PG,2010,Adventure
Tangled,"Adventure,Animation,Comedy,Family,Fantasy,Musical,Romance",PG,2010,Animation
Tangled,"Adventure,Animation,Comedy,Family,Fantasy,Musical,Romance",PG,2010,Comedy
Tangled,"Adventure,Animation,Comedy,Family,Fantasy,Musical,Romance",PG,2010,Family
Tangled,"Adventure,Animation,Comedy,Family,Fantasy,Musical,Romance",PG,2010,Fantasy
Tangled,"Adventure,Animation,Comedy,Family,Fantasy,Musical,Romance",PG,2010,Musical
Tangled,"Adventure,Animation,Comedy,Family,Fantasy,Musical,Romance",PG,2010,Romance
Avengers: Age of Ultron,"Action,Adventure,Sci-Fi",PG-13,2015,Action
Avengers: Age of Ultron,"Action,Adventure,Sci-Fi",PG-13,2015,Adventure
Avengers: Age of Ultron,"Action,Adventure,Sci-Fi",PG-13,2015,Sci-Fi
Harry Potter and the Half-Blood Prince,"Adventure,Family,Fantasy,Mystery",PG,2009,Adventure
Harry Potter and the Half-Blood Prince,"Adventure,Family,Fantasy,Mystery",PG,2009,Family
Harry Potter and the Half-Blood Prince,"Adventure,Family,Fantasy,Mystery",PG,2009,Fantasy
Harry Potter and the Half-Blood Prince,"Adventure,Family,Fantasy,Mystery",PG,2009,Mystery
Batman v Superman: Dawn of Justice,"Action,Adventure,Sci-Fi",PG-13,2016,Action
Batman v Superman: Dawn of Justice,"Action,Adventure,Sci-Fi",PG-13,2016,Adventure
Batman v Superman: Dawn of Justice,"Action,Adventure,Sci-Fi",PG-13,2016,Sci-Fi
Superman Returns,"Action,Adventure,Sci-Fi",PG-13,2006,Action
Superman Returns,"Action,Adventure,Sci-Fi",PG-13,2006,Adventure
Superman Returns,"Action,Adventure,Sci-Fi",PG-13,2006,Sci-Fi
Quantum of Solace,"Action,Adventure",PG-13,2008,Action
Quantum of Solace,"Action,Adventure",PG-13,2008,Adventure
Pirates of the Caribbean: Dead Man's Chest,"Action,Adventure,Fantasy",PG-13,2006,Action
Pirates of the Caribbean: Dead Man's Chest,"Action,Adventure,Fantasy",PG-13,2006,Adventure
Pirates of the Caribbean: Dead Man's Chest,"Action,Adventure,Fantasy",PG-13,2006,Fantasy
The Lone Ranger,"Action,Adventure,Western",PG-13,2013,Action
The Lone Ranger,"Action,Adventure,Western",PG-13,2013,Adventure
The Lone Ranger,"Action,Adventure,Western",PG-13,2013,Western
Man of Steel,"Action,Adventure,Fantasy,Sci-Fi",PG-13,2013,Action
Man of Steel,"Action,Adventure,Fantasy,Sci-Fi",PG-13,2013,Adventure
Man of Steel,"Action,Adventure,Fantasy,Sci-Fi",PG-13,2013,Fantasy
Man of Steel,"Action,Adventure,Fantasy,Sci-Fi",PG-13,2013,Sci-Fi
The Chronicles of Narnia: Prince Caspian,"Action,Adventure,Family,Fantasy",PG,2008,Action
The Chronicles of Narnia: Prince Caspian,"Action,Adventure,Family,Fantasy",PG,2008,Adventure
The Chronicles of Narnia: Prince Caspian,"Action,Adventure,Family,Fantasy",PG,2008,Family
The Chronicles of Narnia: Prince Caspian,"Action,Adventure,Family,Fantasy",PG,2008,Fantasy
The Avengers,"Action,Adventure,Sci-Fi",PG-13,2012,Action
The Avengers,"Action,Adventure,Sci-Fi",PG-13,2012,Adventure
The Avengers,"Action,Adventure,Sci-Fi",PG-13,2012,Sci-Fi
Pirates of the Caribbean: On Stranger Tides,"Action,Adventure,Fantasy",PG-13,2011,Action
Pirates of the Caribbean: On Stranger Tides,"Action,Adventure,Fantasy",PG-13,2011,Adventure
Pirates of the Caribbean: On Stranger Tides,"Action,Adventure,Fantasy",PG-13,2011,Fantasy
Men in Black 3,"Action,Adventure,Comedy,Family,Fantasy,Sci-Fi",PG-13,2012,Action
Men in Black 3,"Action,Adventure,Comedy,Family,Fantasy,Sci-Fi",PG-13,2012,Adventure
Men in Black 3,"Action,Adventure,Comedy,Family,Fantasy,Sci-Fi",PG-13,2012,Comedy
